Month,Material,Volume (m³),Mass (kg),Density (kg/m³)
Jan,Aluminum,10,27000,2700
Jan,Copper,15,135000,9000
Jan,Iron,20,156000,7800
Jan,Zinc,25,175000,7000
Jan,Lead,30,342000,11400
Jan,Nickel,12,106800,8900
Jan,Tin,18,128700,7150
Jan,Magnesium,22,39600,1800
Jan,Titanium,16,72000,4500
Jan,Silver,14,154000,11000
Feb,Aluminum,11,29700,2700
Feb,Copper,16,144000,9000
Feb,Iron,21,163800,7800
Feb,Zinc,26,182000,7000
Feb,Lead,31,354200,11400
Feb,Nickel,13,115680,8900
Feb,Tin,19,135540,7150
Feb,Magnesium,23,41400,1800
Feb,Titanium,17,76500,4500
Feb,Silver,15,165000,11000
Mar,Aluminum,12,32400,2700
Mar,Copper,17,153000,9000
Mar,Iron,22,171600,7800
Mar,Zinc,27,189000,7000
Mar,Lead,32,366400,11400
Mar,Nickel,14,124640,8900
Mar,Tin,20,143000,7150
Mar,Magnesium,24,43200,1800
Mar,Titanium,18,81000,4500
Mar,Silver,16,176000,11000
Apr,Aluminum,13,35100,2700
Apr,Copper,18,162000,9000
Apr,Iron,23,179400,7800
Apr,Zinc,28,196000,7000
Apr,Lead,33,378600,11400
Apr,Nickel,15,133560,8900
Apr,Tin,21,150300,7150
Apr,Magnesium,25,45000,1800
Apr,Titanium,19,85500,4500
Apr,Silver,17,187000,11000
May,Aluminum,14,37800,2700
May,Copper,19,171000,9000
May,Iron,24,187200,7800
May,Zinc,29,203000,7000
May,Lead,34,390800,11400
May,Nickel,16,142480,8900
May,Tin,22,157600,7150
May,Magnesium,26,46800,1800
May,Titanium,20,90000,4500
May,Silver,18,198000,11000
Jun,Aluminum,15,40500,2700
Jun,Copper,20,180000,9000
Jun,Iron,25,195000,7800
Jun,Zinc,30,210000,7000
Jun,Lead,35,403000,11400
Jun,Nickel,17,151400,8900
Jun,Tin,23,164900,7150
Jun,Magnesium,27,48600,1800
Jun,Titanium,21,94500,4500
Jun,Silver,19,209000,11000
Jul,Aluminum,16,43200,2700
Jul,Copper,21,189000,9000
Jul,Iron,26,202800,7800
Jul,Zinc,31,217000,7000
Jul,Lead,36,415200,11400
Jul,Nickel,18,160320,8900
Jul,Tin,24,172200,7150
Jul,Magnesium,28,50400,1800
Jul,Titanium,22,99000,4500
Jul,Silver,20,220000,11000
Aug,Aluminum,17,45900,2700
Aug,Copper,22,198000,9000
Aug,Iron,27,210600,7800
Aug,Zinc,32,224000,7000
Aug,Lead,37,427400,11400
Aug,Nickel,19,169240,8900
Aug,Tin,25,179500,7150
Aug,Magnesium,29,52200,1800
Aug,Titanium,23,103500,4500
Aug,Silver,21,231000,11000
Sep,Aluminum,18,48600,2700
Sep,Copper,23,207000,9000
Sep,Iron,28,218400,7800
Sep,Zinc,33,231000,7000
Sep,Lead,38,439600,11400
Sep,Nickel,20,178160,8900
Sep,Tin,26,186800,7150
Sep,Magnesium,30,54000,1800
Sep,Titanium,24,108000,4500
Sep,Silver,22,242000,11000
Oct,Aluminum,19,51300,2700
Oct,Copper,24,216000,9000
Oct,Iron,29,226200,7800
Oct,Zinc,34,238000,7000
Oct,Lead,39,451800,11400
Oct,Nickel,21,187080,8900
Oct,Tin,27,194100,7150
Oct,Magnesium,31,55800,1800
Oct,Titanium,25,112500,4500
Oct,Silver,23,253000,11000
Nov,Aluminum,20,54000,2700
Nov,Copper,25,225000,9000
Nov,Iron,30,234000,7800
Nov,Zinc,35,245000,7000
Nov,Lead,40,464000,11400
Nov,Nickel,22,195960,8900
Nov,Tin,28,201400,7150
Nov,Magnesium,32,57600,1800
Nov,Titanium,26,117000,4500
Nov,Silver,24,264000,11000
Dec,Gold,9,171000,19000
Dec,Platinum,11,214500,19500
Dec,Aluminum,21,56700,2700
Dec,Copper,26,234000,9000
Dec,Iron,31,241800,7800
Dec,Zinc,36,252000,7000
Dec,Lead,41,476200,11400
Dec,Nickel,23,204840,8900
Dec,Tin,29,208700,7150
Dec,Magnesium,33,59400,1800
